Threshold,c1 value,c2 value,c3 value
0.010425,-1,1.3339e-29,1
0.010426,-1,1.3431e-29,1
0.010427,-1,1.3524e-29,1
0.010429,-1,1.3618e-29,1
0.01043,-1,1.3712e-29,1
0.010431,-1,1.3807e-29,1
0.010432,-1,1.3903e-29,1
0.010433,-1,1.4e-29,1
0.010434,-1,1.4097e-29,1
0.010435,-1,1.4194e-29,1
0.010436,-1,1.4293e-29,1
0.010437,-1,1.4392e-29,1
0.010438,-1,1.4492e-29,1
0.010439,-1,1.4592e-29,1
0.010441,-1,1.4693e-29,1
0.010442,-1,1.4795e-29,1
0.010443,-1,1.4898e-29,1
0.010444,-1,1.5001e-29,1
0.010445,-1,1.5105e-29,1
0.010446,-1,1.521e-29,1
0.010447,-1,1.5315e-29,1
0.010448,-1,1.5421e-29,1
0.010449,-1,1.5528e-29,1
0.01045,-1,1.5636e-29,1
0.010451,-1,1.5744e-29,1
0.010452,-1,1.5853e-29,1
0.010454,-1,1.5963e-29,1
0.010455,-1,1.6074e-29,1
0.010456,-1,1.6185e-29,1
0.010457,-1,1.6298e-29,1
0.010458,-1,1.641e-29,1
0.010459,-1,1.6524e-29,1
0.01046,-1,1.6639e-29,1
0.010461,-1,1.6754e-29,1
0.010462,-1,1.687e-29,1
0.010463,-1,1.6987e-29,1
0.010464,-1,1.7105e-29,1
0.010466,-1,1.7224e-29,1
0.010467,-1,1.7343e-29,1
0.010468,-1,1.7463e-29,1
0.010469,-1,1.7584e-29,1
0.01047,-1,1.7706e-29,1
0.010471,-1,1.7829e-29,1
0.010472,-1,1.7953e-29,1
0.010473,-1,1.8077e-29,1
0.010474,-1,1.8202e-29,1
0.010475,-1,1.8328e-29,1
0.010476,-1,1.8456e-29,1
0.010478,-1,1.8583e-29,1
0.010479,-1,1.8712e-29,1
0.01048,-1,1.8842e-29,1
0.010481,-1,1.8973e-29,1
0.010482,-1,1.9104e-29,1
0.010483,-1,1.9237e-29,1
0.010484,-1,1.937e-29,1
0.010485,-1,1.9504e-29,1
0.010486,-1,1.9639e-29,1
0.010487,-1,1.9776e-29,1
0.010489,-1,1.9913e-29,1
0.01049,-1,2.0051e-29,1
0.010491,-1,2.019e-29,1
0.010492,-1,2.033e-29,1
0.010493,-1,2.0471e-29,1
0.010494,-1,2.0613e-29,1
0.010495,-1,2.0755e-29,1
0.010496,-1,2.0899e-29,1
0.010497,-1,2.1044e-29,1
0.010498,-1,2.119e-29,1
0.0105,-1,2.1337e-29,1
0.010501,-1,2.1485e-29,1
0.010502,-1,2.1634e-29,1
0.010503,-1,2.1784e-29,1
0.010504,-1,2.1935e-29,1
0.010505,-1,2.2087e-29,1
0.010506,-1,2.224e-29,1
0.010507,-1,2.2394e-29,1
0.010508,-1,2.2549e-29,1
0.010509,-1,2.2706e-29,1
0.010511,-1,2.2863e-29,1
0.010512,-1,2.3022e-29,1
0.010513,-1,2.3181e-29,1
0.010514,-1,2.3342e-29,1
0.010515,-1,2.3504e-29,1
0.010516,-1,2.3667e-29,1
0.010517,-1,2.3831e-29,1
0.010518,-1,2.3996e-29,1
0.010519,-1,2.4162e-29,1
0.01052,-1,2.433e-29,1
0.010522,-1,2.4498e-29,1
0.010523,-1,2.4668e-29,1
0.010524,-1,2.4839e-29,1
0.010525,-1,2.5012e-29,1
0.010526,-1,2.5185e-29,1
0.010527,-1,2.5359e-29,1
0.010528,-1,2.5535e-29,1
0.010529,-1,2.5712e-29,1
0.01053,-1,2.5891e-29,1
0.010531,-1,2.607e-29,1
0.010533,-1,2.6251e-29,1
0.010534,-1,2.6433e-29,1
0.010535,-1,2.6616e-29,1
0.010536,-1,2.68e-29,1
0.010537,-1,2.6986e-29,1
0.010538,-1,2.7173e-29,1
0.010539,-1,2.7362e-29,1
0.01054,-1,2.7551e-29,1
0.010541,-1,2.7742e-29,1
0.010543,-1,2.7935e-29,1
0.010544,-1,2.8128e-29,1
0.010545,-1,2.8323e-29,1
0.010546,-1,2.852e-29,1
0.010547,-1,2.8717e-29,1
0.010548,-1,2.8917e-29,1
0.010549,-1,2.9117e-29,1
0.01055,-1,2.9319e-29,1
0.010551,-1,2.9522e-29,1
0.010553,-1,2.9727e-29,1
0.010554,-1,2.9933e-29,1
0.010555,-1,3.014e-29,1
0.010556,-1,3.0349e-29,1
0.010557,-1,3.056e-29,1
0.010558,-1,3.0772e-29,1
0.010559,-1,3.0985e-29,1
0.01056,-1,3.12e-29,1
0.010561,-1,3.1416e-29,1
